field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
f6a_ultrasound1_l_ut_pi_dk,this_pregnancy,,yesno,=> Don't know L Ut PI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_l_ut_pi] = ''),y,RH,,,,
f6a_ultrasound1_r_ut_pi,this_pregnancy,,text,"=> If yes, what was the right uterine artery pulsatility index(R Ut PI)? (2 decimals)",,,number,0.2,5,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_r_ut_pi_dk,this_pregnancy,,yesno,=> Don't know R Ut PI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_r_ut_pi] = ''),y,RH,,,,
f6a_ultrasound1_mean_ut_pi,this_pregnancy,,calc,"=> If yes, what was the mean uterine artery pulsatility index(Ut PI)?",([f6a_ultrasound1_l_ut_pi] + [f6a_ultrasound1_r_ut_pi])/2,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),,RH,,,,
f6a_ultrasound1_l_notch,this_pregnancy,,dropdown,"=> If yes, what was the L Notch?","1, Absent | 2, Present | 3, Indeterminate | 4, Not visualized | 5, No result",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_l_notch_dk,this_pregnancy,,yesno,=> Don't know L Notch,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_l_notch] = ''),y,RH,,,,
f6a_ultrasound1_r_notch,this_pregnancy,,dropdown,"=> If yes, what was the R Notch?","1, Absent | 2, Present | 3, Indeterminate | 4, Not visualized | 5, No result",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_r_notch_dk,this_pregnancy,,yesno,=> Don't know R Notch,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_r_notch] = ''),y,RH,,,,
f6a_ultrasound2,this_pregnancy,,radio,Has she had/Did she have a SECOND ultrasound?,"1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound2_gender,this_pregnancy,Ultrasound 2,dropdown,"=> If yes, what is the fetal sex? (SECOND)","1, Likely male | 2, Likely female | 3, Not seen | 4, Not reported",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_date,this_pregnancy,,text,"=> If yes, what was the DATE of the SECOND scan?",,,date_ymd,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),,RH,,,,@HIDEBUTTON
f6a_ultrasound2_date_unknown,this_pregnancy,,yesno,=> DATE of the SECOND scan unknown,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_date] = ''),y,RH,,,,
f6a_ultrasound2_edd,this_pregnancy,,yesno,"=> If yes, was an EDD assigned?",,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_edd_date,this_pregnancy,,text,"==> If yes, what EDD was assigned?",,,date_ymd,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2_edd] = '1'),,RH,,,,@HIDEBUTTON
f6a_ultrasound2_edd_date_unknown,this_pregnancy,,yesno,==> EDD unknown,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2_edd] = '1' and [f6a_ultrasound2_edd_date] = ''),y,RH,,,,
f6a_ultrasound2_fetal_abnormality,this_pregnancy,,dropdown,"=> If yes, was a fetal abnormality detected?","1, None | 2, Not assessed | 3, CNS | 4, Cardiac | 5, Urogenital | 6, Gastrointestinal | 7, Musculoskeletal | 8, Respiratory | 9, Multiple | 10, Other Abnormality | 11, Not visualised",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_tcd,this_pregnancy,,text,"=> If yes, what was the transcerebellar diameter(TCD) (mm)? (2 decimals)",,,number,10,50,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_tcd_unknown,this_pregnancy,,yesno,=> Don't know TCD,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_tcd] = ''),y,RH,,,,
f6a_ultrasound2_crl,this_pregnancy,,text,"=> If yes, what was the crown-rump length(CRL) (mm)? (2 decimals)",,,number,7,85,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_crl_unknown,this_pregnancy,,yesno,=> Don't know CRL,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_crl] = ''),y,RH,,,,
f6a_ultrasound2_bpd,this_pregnancy,,text,"=> If yes, what was the biparietal diameter(BPD) (mm)? (2 decimals)",,,number,20,110,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_bpd_unknown,this_pregnancy,,yesno,=> Don't know BPD,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_bpd] = ''),y,RH,,,,
f6a_ultrasound2_hc,this_pregnancy,,text,"=> If yes, what was the head circumference(HC) (mm)? (2 decimals)",,,number,80,380,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_hc_unknown,this_pregnancy,,yesno,=> Don't know HC,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_hc] = ''),y,RH,,,,
f6a_ultrasound2_ac,this_pregnancy,,text,"=> If yes, what was the abdominal circumference(AC) (mm)? (2 decimals)",,,number,60,410,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_ac_unknown,this_pregnancy,,yesno,=> Don't know AC,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_ac] = ''),y,RH,,,,
f6a_ultrasound2_fl,this_pregnancy,,text,"=> If yes, what was the femur length(FL) (mm)? (2 decimals)",,,number,10,80,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_fl_unknown,this_pregnancy,,yesno,=> Don't know FL,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_fl] = ''),y,RH,,,,
f6a_ultrasound2_subchorionic_haematoma,this_pregnancy,,yesno,"=> If yes, is there a sub-chorionic haematoma?",,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_fgr,this_pregnancy,,radio,"=> If yes, is there a clinical suspicion of fetal growth restriction(FGR)?","1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_macrosomia,this_pregnancy,,yesno,"=> If yes, is there a clinical indication for macrosomia?",,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_afi,this_pregnancy,,text,"=> If yes, what was the amniotic fluid index(AFI) (mm)? (2 decimals)",,,number,15,180,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_afi_dk,this_pregnancy,,yesno,=> Don't know AFI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_afi] = ''),y,RH,,,,
f6a_ultrasound2_pocket_depth,this_pregnancy,,text,"=> If yes, what was the depth of the deepest amniotic fluid pocket (mm)? (2 decimals)",,,number,5,100,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_pocket_depth_dk,this_pregnancy,,yesno,=> Don't know depth of the deepest amniotic fluid pocket,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_pocket_depth] = ''),y,RH,,,,
f6a_ultrasound2_umbilical_ri,this_pregnancy,,text,"=> If yes, what was the umbilical resistance index(RI)? (2 decimals)",,,number,0.4,1,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_umbilical_ri_dk,this_pregnancy,,yesno,=> Don't know umbilical RI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_umbilical_ri] = ''),y,RH,,,,
f6a_ultrasound2_umbilical_pi,this_pregnancy,,text,"=> If yes, what was the umbilical pulsatility index(PI)? (2 decimals)",,,number,0.5,5,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_umbilical_pi_dk,this_pregnancy,,yesno,=> Don't know umbilical PI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_umbilical_pi] = ''),y,RH,,,,
f6a_ultrasound2_umbilical_edv,this_pregnancy,,dropdown,"=> If yes, what was the umbilical end diastolic velocity(EDV)?","1, Present/intermittently absent | 2, Absent/intermittently reversed | 3, Reversed | 4, No result",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_umbilical_edv_dk,this_pregnancy,,yesno,=> Don't know umbilical EDV,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_umbilical_edv] = ''),y,RH,,,,
f6a_ultrasound2_l_ut_ri,this_pregnancy,,text,"=> If yes, what was the left uterine artery resistance index(L Ut RI)? (2 decimals)",,,number,0.3,1,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_l_ut_ri_dk,this_pregnancy,,yesno,=> Don't know L Ut RI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_l_ut_ri] = ''),y,RH,,,,
f6a_ultrasound2_r_ut_ri,this_pregnancy,,text,"=> If yes, what was the right uterine artery resistance index(R Ut RI)? (2 decimals)",,,number,0.3,1,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_r_ut_ri_dk,this_pregnancy,,yesno,=> Don't know R Ut RI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_r_ut_ri] = ''),y,RH,,,,
f6a_ultrasound2_mean_ut_ri,this_pregnancy,,calc,"=> If yes, what was the mean uterine artery resistance index(Ut RI)?",([f6a_ultrasound2_l_ut_ri] + [f6a_ultrasound2_r_ut_ri])/2,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),,RH,,,,
f6a_ultrasound2_l_ut_pi,this_pregnancy,,text,"=> If yes, what was the left uterine artery pulsatility index(L Ut PI)? (2 decimals)",,,number,0.2,5,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_l_ut_pi_dk,this_pregnancy,,yesno,=> Don't know L Ut PI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_l_ut_pi] = ''),y,RH,,,,
f6a_ultrasound2_r_ut_pi,this_pregnancy,,text,"=> If yes, what was the right uterine artery pulsatility index(R Ut PI)? (2 decimals)",,,number,0.2,5,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_r_ut_pi_dk,this_pregnancy,,yesno,=> Don't know R Ut PI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_r_ut_pi] = ''),y,RH,,,,
f6a_ultrasound2_mean_ut_pi,this_pregnancy,,calc,"=> If yes, what was the mean uterine artery pulsatility index(Ut PI)?",([f6a_ultrasound2_l_ut_pi] + [f6a_ultrasound2_r_ut_pi])/2,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),,RH,,,,
f6a_ultrasound2_l_notch,this_pregnancy,,dropdown,"=> If yes, what was the L Notch?","1, Absent | 2, Present | 3, Indeterminate | 4, Not visualized | 5, No result",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_l_notch_dk,this_pregnancy,,yesno,=> Don't know L Notch,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_l_notch] = ''),y,RH,,,,
f6a_ultrasound2_r_notch,this_pregnancy,,dropdown,"=> If yes, what was the R Notch?","1, Absent | 2, Present | 3, Indeterminate | 4, Not visualized | 5, No result",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound2_r_notch_dk,this_pregnancy,,yesno,=> Don't know R Notch,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1' and [f6a_ultrasound2_r_notch] = ''),y,RH,,,,
f6a_ultrasound3,this_pregnancy,,radio,Has she had/Did she have a THIRD ultrasound?,"1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound2] = '1'),y,RH,,,,
f6a_ultrasound3_gender,this_pregnancy,Ultrasound 3,dropdown,"=> If yes, what is the fetal sex? (THIRD)","1, Likely male | 2, Likely female | 3, Not seen | 4, Not reported",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_date,this_pregnancy,,text,"=> If yes, what was the DATE of the THIRD scan?",,,date_ymd,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),,RH,,,,@HIDEBUTTON
f6a_ultrasound3_date_unknown,this_pregnancy,,yesno,=> DATE of the THIRD scan unknown,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_date] = ''),y,RH,,,,
f6a_ultrasound3_edd,this_pregnancy,,yesno,"=> If yes, was an EDD assigned?",,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_edd_date,this_pregnancy,,text,"==> If yes, what EDD was assigned?",,,date_ymd,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3_edd] = '1'),,RH,,,,@HIDEBUTTON
f6a_ultrasound3_edd_date_unknown,this_pregnancy,,yesno,==> EDD unknown,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3_edd] = '1' and [f6a_ultrasound3_edd_date] = ''),y,RH,,,,
f6a_ultrasound3_fetal_abnormality,this_pregnancy,,dropdown,"=> If yes, was a fetal abnormality detected?","1, None | 2, Not assessed | 3, CNS | 4, Cardiac | 5, Urogenital | 6, Gastrointestinal | 7, Musculoskeletal | 8, Respiratory | 9, Multiple | 10, Other Abnormality | 11, Not visualised",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_tcd,this_pregnancy,,text,"=> If yes, what was the transcerebellar diameter(TCD) (mm)? (2 decimals)",,,number,10,50,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_tcd_unknown,this_pregnancy,,yesno,=> Don't know TCD,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_tcd] = ''),y,RH,,,,
f6a_ultrasound3_crl,this_pregnancy,,text,"=> If yes, what was the crown-rump length(CRL) (mm)? (2 decimals)",,,number,7,85,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_crl_unknown,this_pregnancy,,yesno,=> Don't know CRL,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_crl] = ''),y,RH,,,,
f6a_ultrasound3_bpd,this_pregnancy,,text,"=> If yes, what was the biparietal diameter(BPD) (mm)? (2 decimals)",,,number,20,110,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_bpd_unknown,this_pregnancy,,yesno,=> Don't know BPD,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_bpd] = ''),y,RH,,,,
f6a_ultrasound3_hc,this_pregnancy,,text,"=> If yes, what was the head circumference(HC) (mm)? (2 decimals)",,,number,80,380,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_hc_unknown,this_pregnancy,,yesno,=> Don't know HC,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_hc] = ''),y,RH,,,,
f6a_ultrasound3_ac,this_pregnancy,,text,"=> If yes, what was the abdominal circumference(AC) (mm)? (2 decimals)",,,number,60,410,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_ac_unknown,this_pregnancy,,yesno,=> Don't know AC,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_ac] = ''),y,RH,,,,
f6a_ultrasound3_fl,this_pregnancy,,text,"=> If yes, what was the femur length(FL) (mm)? (2 decimals)",,,number,10,80,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_fl_unknown,this_pregnancy,,yesno,=> Don't know FL,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_fl] = ''),y,RH,,,,
f6a_ultrasound3_subchorionic_haematoma,this_pregnancy,,yesno,"=> If yes, is there a sub-chorionic haematoma?",,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_fgr,this_pregnancy,,yesno,"=> If yes, is there a clinical suspicion of fetal growth restriction(FGR)?",,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_macrosomia,this_pregnancy,,yesno,"=> If yes, is there a clinical indication for macrosomia?",,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_afi,this_pregnancy,,text,"=> If yes, what was the amniotic fluid index(AFI) (mm)? (2 decimals)",,,number,15,180,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_afi_dk,this_pregnancy,,yesno,=> Don't know AFI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_afi] = ''),y,RH,,,,
f6a_ultrasound3_pocket_depth,this_pregnancy,,text,"=> If yes, what was the depth of the deepest amniotic fluid pocket (mm)? (2 decimals)",,,number,5,100,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_pocket_depth_dk,this_pregnancy,,yesno,=> Don't know depth of the deepest amniotic fluid pocket,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_pocket_depth] = ''),y,RH,,,,
f6a_ultrasound3_umbilical_ri,this_pregnancy,,text,"=> If yes, what was the umbilical resistance index(RI)? (2 decimals)",,,number,0.4,1,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_umbilical_ri_dk,this_pregnancy,,yesno,=> Don't know umbilical RI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_umbilical_ri] = ''),y,RH,,,,
f6a_ultrasound3_umbilical_pi,this_pregnancy,,text,"=> If yes, what was the umbilical pulsatility index(PI)? (2 decimals)",,,number,0.5,5,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_umbilical_pi_dk,this_pregnancy,,yesno,=> Don't know umbilical PI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_umbilical_pi] = ''),y,RH,,,,
f6a_ultrasound3_umbilical_edv,this_pregnancy,,dropdown,"=> If yes, what was the umbilical end diastolic velocity(EDV)?","1, Present/intermittently absent | 2, Absent/intermittently reversed | 3, Reversed | 4, No result",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_umbilical_edv_dk,this_pregnancy,,yesno,=> Don't know umbilical EDV,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_umbilical_edv] = ''),y,RH,,,,
f6a_ultrasound3_l_ut_ri,this_pregnancy,,text,"=> If yes, what was the left uterine artery resistance index(L Ut RI)? (2 decimals)",,,number,0.3,1,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_l_ut_ri_dk,this_pregnancy,,yesno,=> Don't know L Ut RI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_l_ut_ri] = ''),y,RH,,,,
f6a_ultrasound3_r_ut_ri,this_pregnancy,,text,"=> If yes, what was the right uterine artery resistance index(R Ut RI)? (2 decimals)",,,number,0.3,1,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_r_ut_ri_dk,this_pregnancy,,yesno,=> Don't know R Ut RI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_r_ut_ri] = ''),y,RH,,,,
f6a_ultrasound3_mean_ut_ri,this_pregnancy,,calc,"=> If yes, what was the mean uterine artery resistance index(Ut RI)?",([f6a_ultrasound3_l_ut_ri] + [f6a_ultrasound3_r_ut_ri])/2,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),,RH,,,,
f6a_ultrasound3_l_ut_pi,this_pregnancy,,text,"=> If yes, what was the left uterine artery pulsatility index(L Ut PI)? (2 decimals)",,,number,0.2,5,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_l_ut_pi_dk,this_pregnancy,,yesno,=> Don't know L Ut PI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_l_ut_pi] = ''),y,RH,,,,
f6a_ultrasound3_r_ut_pi,this_pregnancy,,text,"=> If yes, what was the right uterine artery pulsatility index(R Ut PI)? (2 decimals)",,,number,0.2,5,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_r_ut_pi_dk,this_pregnancy,,yesno,=> Don't know R Ut PI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_r_ut_pi] = ''),y,RH,,,,
f6a_ultrasound3_mean_ut_pi,this_pregnancy,,calc,"=> If yes, what was the mean uterine artery pulsatility index(Ut PI)?",([f6a_ultrasound3_l_ut_pi] + [f6a_ultrasound3_r_ut_pi])/2,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),,RH,,,,
f6a_ultrasound3_l_notch,this_pregnancy,,dropdown,"=> If yes, what was the L Notch?","1, Absent | 2, Present | 3, Indeterminate | 4, Not visualized | 5, No result",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_l_notch_dk,this_pregnancy,,yesno,=> Don't know L Notch,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_l_notch] = ''),y,RH,,,,
f6a_ultrasound3_r_notch,this_pregnancy,,dropdown,"=> If yes, what was the R Notch?","1, Absent | 2, Present | 3, Indeterminate | 4, Not visualized | 5, No result",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1'),y,RH,,,,
f6a_ultrasound3_r_notch_dk,this_pregnancy,,yesno,=> Don't know R Notch,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound3] = '1' and [f6a_ultrasound3_r_notch] = ''),y,RH,,,,
f6a_ga_lmp_or_months,this_pregnancy,,calc,<span style='color: grey'>GA calculated in weeks (using LMP) (Autopopulated)</span>,"round(datediff([f6a_lmp],[f2_visit_date],'d','ymd',true)/7,2)",weeks,,,,,[f2a_cohort] <> '1',,RH,,,,@HIDDEN-APP
f6a_us_earliest_wedd_days,this_pregnancy,,calc,<span style='color: grey'>Earliest ultrasound scan with EDD (number of days from 2019-01-01) (Autopopulated)</span>,"min(if([f6a_ultrasound1_edd_date]<>"""",datediff(""2019-01-01"",[f6a_ultrasound1_date],""d"",""ymd"",true),""""), if([f6a_ultrasound2_edd_date]<>"""",datediff(""2019-01-01"",[f6a_ultrasound2_date],""d"",""ymd"",true),""""), if([f6a_ultrasound3_edd_date]<>"""",datediff(""2019-01-01"",[f6a_ultrasound3_date],""d"",""ymd"",true),""""))",,,,,,[f2a_cohort] <> '1',,RH,,,,
f6a_us_earliest_w_edd,this_pregnancy,,calc,<span style='color: grey'>The earliest ultrasound # with EDD (Autopopulated)</span>,"if(([f6a_us_earliest_wedd_days]>=0 or [f6a_us_earliest_wedd_days]<0), if([f6a_us_earliest_wedd_days]=datediff(""2019-01-01"",[f6a_ultrasound1_date],""d"",""ymd"",true) and [f6a_ultrasound1_edd_date]<>"""", 1, if([f6a_us_earliest_wedd_days]=datediff(""2019-01-01"",[f6a_ultrasound2_date],""d"",""ymd"",true) and [f6a_ultrasound2_edd_date]<>"""", 2, if([f6a_us_earliest_wedd_days]=datediff(""2019-01-01"",[f6a_ultrasound3_date],""d"",""ymd"",true) and [f6a_ultrasound3_edd_date]<>"""", 3, """"))), """")",,,,,,[f2a_cohort] <> '1',,RH,,,,
f6a_ga_us_w_edd,this_pregnancy,,calc,<span style='color: grey'>GA calculated in weeks (using ultrasound with EDD) (Autopopulated)</span>,"if(([f6a_us_earliest_wedd_days]>=0 or [f6a_us_earliest_wedd_days]<0),  if([f6a_us_earliest_wedd_days]=datediff(""2019-01-01"",[f6a_ultrasound1_date],""d"",""ymd"",true) and [f6a_ultrasound1_edd_date]<>"""", round(40-datediff([f2_visit_date],[f6a_ultrasound1_edd_date],""d"",""ymd"",true)/7,2), if([f6a_us_earliest_wedd_days]=datediff(""2019-01-01"",[f6a_ultrasound2_date],""d"",""ymd"",true) and [f6a_ultrasound2_edd_date]<>"""", round(40-datediff([f2_visit_date],[f6a_ultrasound2_edd_date],""d"",""ymd"",true)/7,2), if([f6a_us_earliest_wedd_days]=datediff(""2019-01-01"",[f6a_ultrasound3_date],""d"",""ymd"",true) and [f6a_ultrasound3_edd_date]<>"""", round(40-datediff([f2_visit_date],[f6a_ultrasound3_edd_date],""d"",""ymd"",true)/7,2), """"))), """")",weeks,,,,,[f2a_cohort] <> '1',,RH,,,,
f6a_ga_consent,this_pregnancy,,calc,Gestational age at consent,"if(([f6a_ga_us_w_edd]>=0 or [f6a_ga_us_w_edd]< 0), [f6a_ga_us_w_edd], if(([f6a_ga_lmp_or_months]>=0 or [f6a_ga_lmp_or_months]< 0), [f6a_ga_lmp_or_months], [f6a_as_sfh]))",weeks,,,,,[f2a_cohort] <> '1',,RH,,,,@HIDDEN-APP
f6a_first_pregnancy_with_partner,this_pregnancy,,dropdown,Does/did this baby have the same father as your other children?,"1, Yes | 0, No | 2, Donor sperm | 99, Don't know | 98, Not Applicable (first pregnancy)",,,,,,[f2a_cohort] <> '1',y,RH,,,,
