neighborhood_code,exposure_month,lst
3,2021_03_15,36.49166405994301
3,2021_03_16,45.046680791473946
3,2021_03_17,45.62233814061831
3,2021_03_18,41.55929127414187
3,2021_03_19,44.53877032335495
3,2021_03_20,33.733152529734284
3,2021_03_21,43.194389299093594
3,2021_03_22,
3,2021_03_23,44.829591532390644
3,2021_03_24,36.19553113519753
3,2021_03_25,41.06210399010646
3,2021_03_26,42.730819935983476
3,2021_03_27,37.44712417706377
3,2021_03_28,45.28717728148996
3,2021_03_29,
3,2021_03_30,32.46255868608737
3,2021_03_31,35.60108754955842
3,2021_04_01,40.14860628159939
3,2021_04_02,37.04634861601111
3,2021_04_03,33.996419361292155
3,2021_04_04,43.78818599279888
3,2021_04_05,
3,2021_04_06,46.52755064925621
3,2021_04_07,
3,2021_04_08,49.334794765940565
3,2021_04_09,45.59563279743978
3,2021_04_10,44.6313619830496
3,2021_04_11,46.84781426181205
3,2021_04_12,40.789328101699105
3,2021_04_13,46.91499618084606
3,2021_04_14,
3,2021_04_15,43.12236642054338
3,2021_04_16,
3,2021_04_17,44.69647282944759
3,2021_04_18,
3,2021_04_19,43.66239351835042
3,2021_04_20,48.966794729567404
3,2021_04_21,36.89000000000004
3,2021_04_22,47.462716054995894
3,2021_04_23,
3,2021_04_24,46.981076183028094
3,2021_04_25,44.90976412177677
3,2021_04_26,44.77627377878077
3,2021_04_27,45.96457661950273
3,2021_04_28,38.83531080638752
3,2021_04_29,44.608672298403725
3,2021_04_30,
3,2021_05_01,43.49161486560257
3,2021_05_02,
3,2021_05_03,39.00337849634489
3,2021_05_04,
3,2021_05_05,
3,2021_05_06,33.361201231565
3,2021_05_07,28.971604040846078
3,2021_05_08,43.686296693703696
3,2021_05_09,
3,2021_05_10,42.59127768886638
3,2021_05_11,34.89855599607167
3,2021_05_12,43.818710853671554
3,2021_05_13,39.85218555632301
3,2021_05_14,37.309808951369384
3,2021_05_15,34.296494380387685
3,2021_05_16,
3,2021_05_17,
3,2021_05_18,37.967574382570305
3,2021_05_19,37.747898555996535
3,2021_05_20,
3,2021_05_21,
3,2021_05_22,43.73378087149539
3,2021_05_23,34.97439220892605
3,2021_05_24,42.61679873058617
3,2021_05_25,
3,2021_05_26,44.11153284472408
3,2021_05_27,39.476620867130066
3,2021_05_28,44.095597424798925
3,2021_05_29,42.169875150037676
3,2021_05_30,
3,2021_05_31,
3,2021_06_01,
3,2021_06_02,44.91063616193215
3,2021_06_03,
3,2021_06_04,34.23641508747708
3,2021_06_05,
3,2021_06_06,
3,2021_06_07,31.854494598624928
3,2021_06_08,
3,2021_06_09,
3,2021_06_10,
3,2021_06_11,
3,2021_06_12,
3,2021_06_13,
3,2021_06_14,34.09194127653294
3,2021_06_15,
3,2021_06_16,39.48696513658079
3,2021_06_17,
3,2021_06_18,39.822593114611635
3,2021_06_19,33.97824764485552
3,2021_06_20,37.79203042592712
3,2021_06_21,
3,2021_06_22,
3,2021_06_23,40.07680309533318
3,2021_06_24,
3,2021_06_25,
3,2021_06_26,
3,2021_06_27,
3,2021_06_28,30.370000000000005
3,2021_06_29,29.65117993671114
3,2021_06_30,
3,2021_07_01,
3,2021_07_02,40.00823473247686
3,2021_07_03,
3,2021_07_04,33.70579820317864
3,2021_07_05,
3,2021_07_06,
